,Наименование,Год,Регистрационный номер,"Возраст компании, лет",Дата ликвидации,Вид деятельности/отрасль,Форма собственности,Важная информация,"Коэффициент быстрой ликвидности, %","Коэффициент обеспеченности собственными оборотными средствами, %","Коэффициент оборачиваемости совокупных активов, %","Коэффициент текущей ликвидности, %","Оборачиваемость дебиторской задолженности, разы","Оборачиваемость кредиторской задолженности, разы","Рентабельность активов (ROA), %","Рентабельность капитала (ROE), %","Рентабельность продаж, %","Соотношение совокупного долга к капиталу, %",next_year_liqudation
1486,"БЗХК, ОАО",2016,1025201453837.0,29.0,2018,"Дубление и выделка кожи, выделка и крашение меха",16 - Частная собственность,Ликвидировано вследствие банкротства (07.08.2018).,0.8209,-0.1969,0.0061,0.8355,0.0,0.0,-0.0368,1.0405,-2.8245,-15.5529,0
1487,"БЗХК, ОАО",2017,1025201453837.0,29.0,2018,"Дубление и выделка кожи, выделка и крашение меха",16 - Частная собственность,Ликвидировано вследствие банкротства (07.08.2018).,0.9003,-0.1107,0.0009,0.9003,0.0,0.0,-0.045,0.5542,-8.7977,-8.1489,1
1701,"БОРТОРГТЕХМАШ, ЗАО",2015,1025201529297.0,33.0,2018,Производство мебели для офисов и предприятий торговли,16 - Частная собственность,Ликвидировано вследствие банкротства (29.11.2018).,0.0536,-13.9783,3.5994,0.0669,31.5,2.8,-0.6133,0.5237,-0.2064,-0.5767,0
1702,"БОРТОРГТЕХМАШ, ЗАО",2016,1025201529297.0,33.0,2018,Производство мебели для офисов и предприятий торговли,16 - Частная собственность,Ликвидировано вследствие банкротства (29.11.2018).,0.0838,-9.3558,0.2079,0.0967,1.0,0.1,-0.033,0.0158,-0.0009,-0.5676,0
1703,"БОРТОРГТЕХМАШ, ЗАО",2017,1025201529297.0,33.0,2018,Производство мебели для офисов и предприятий торговли,16 - Частная собственность,Ликвидировано вследствие банкротства (29.11.2018).,0.1525,-5.3109,0.044,0.1586,0.2,0.0,0.8214,-0.445,-0.3665,-0.265,1
7216,"МКМ-НН, АО",2015,1025203746248.0,25.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.3461,0.2403,0.7463,1.3164,4.1,1.1,0.0002,0.0008,0.0232,0.0,0
7217,"МКМ-НН, АО",2016,1025203746248.0,25.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.2122,0.3028,0.7587,1.4344,4.3,1.0,0.0001,0.0003,0.0038,0.0,0
7218,"МКМ-НН, АО",2017,1025203746248.0,25.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.4338,-0.5919,1.2217,0.6282,10.9,1.8,-0.6081,-1.9981,-0.4896,0.0,1
12540,"СТРОИТЕЛЬНЫЕ СИСТЕМЫ, ООО",2015,1025500513224.0,27.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (20.08.2018).,0.2456,-3.2264,0.1021,0.2628,0.4,0.2,0.0124,0.5189,0.218,3.9642,0
12541,"СТРОИТЕЛЬНЫЕ СИСТЕМЫ, ООО",2016,1025500513224.0,27.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (20.08.2018).,0.8402,-0.0517,0.3102,0.9508,1.2,0.6,-0.0214,-0.8858,-0.0767,0.0,0
12542,"СТРОИТЕЛЬНЫЕ СИСТЕМЫ, ООО",2017,1025500513224.0,27.0,2018,Строительство жилых и нежилых зданий,16 - Частная собственность,Ликвидировано вследствие банкротства (20.08.2018).,0.905,0.0055,0.1242,1.0055,0.1,0.1,-0.0251,1.0038,0.6457,0.0,1
8223,"ОГЛУХИНСКОЕ, ЗАО",2015,1025501684988.0,32.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (13.11.2018).,,-3.9906,0.0925,0.2004,,0.3,-0.0039,0.0096,,-1.5569,0
8224,"ОГЛУХИНСКОЕ, ЗАО",2016,1025501684988.0,32.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (13.11.2018).,0.0126,-3.4122,0.096,0.2266,7.8,0.2,-0.0945,0.0971,-0.9836,-1.5633,0
8225,"ОГЛУХИНСКОЕ, ЗАО",2017,1025501684988.0,32.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (13.11.2018).,0.0055,-3.8049,0.0854,0.2081,4.7,0.2,-0.0951,0.0947,-1.1062,-1.4646,1
8452,"ОРПИК, ЗАО",2015,1025601019620.0,32.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.0048,-2.5427,0.0705,0.3866,1.6,0.1,-0.5237,0.3063,-3.5678,-0.926,0
8453,"ОРПИК, ЗАО",2016,1025601019620.0,32.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.0064,-3.2042,0.9776,0.4142,58.8,0.7,-0.0322,0.0115,0.248,-0.7918,0
8454,"ОРПИК, ЗАО",2017,1025601019620.0,32.0,2018,Производство пива,16 - Частная собственность,Ликвидировано вследствие банкротства (29.08.2018).,0.0166,-89.4909,2.8214,0.0166,62.4,1.2,-1.0369,0.174,-0.2586,-0.6783,1
4080,"ЖБИ-ТРАНЗИТ, ОАО",2015,1026000960072.0,27.0,2018,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (11.12.2018).,0.2353,0.7789,0.5809,4.5679,1.6,1.5,0.062,0.1017,0.0761,0.0023,0
4081,"ЖБИ-ТРАНЗИТ, ОАО",2016,1026000960072.0,27.0,2018,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (11.12.2018).,3.3274,0.6988,0.4015,3.3407,0.8,1.6,0.0091,0.0122,0.0125,0.0005,0
4082,"ЖБИ-ТРАНЗИТ, ОАО",2017,1026000960072.0,27.0,2018,Производство изделий из бетона для использования в строительстве,16 - Частная собственность,Ликвидировано вследствие банкротства (11.12.2018).,3.3742,0.7029,0.0001,3.3876,0.0,0.0,-0.0198,-0.0277,-36.129,0.0163,1
9585,"ПСКОВ ГЭМ, ЗАО",2015,1026001742689.0,33.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.4118,-1.2043,0.8989,0.4541,1.6,0.8,-0.423,1.6166,-0.5511,-0.3172,0
9586,"ПСКОВ ГЭМ, ЗАО",2016,1026001742689.0,33.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.4447,-1.045,0.0629,0.4895,0.1,0.0,,,-0.5616,-0.2656,0
9587,"ПСКОВ ГЭМ, ЗАО",2017,1026001742689.0,33.0,2018,Производство электромонтажных работ,16 - Частная собственность,Ликвидировано вследствие банкротства (19.12.2018).,0.0017,-603.2,0.0165,0.0017,0.0,0.0,-0.0256,0.0112,-1.5556,0.0,1
15531,"ЦАИ, ООО",2015,1026102572858.0,25.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (06.12.2018).,0.4137,-0.2614,1.0191,0.7928,3.2,2.7,-0.2632,-1.6469,-0.2468,16.4806,0
15532,"ЦАИ, ООО",2016,1026102572858.0,25.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (06.12.2018).,0.8807,-0.1203,0.7456,0.8926,1.6,1.6,-0.1103,5.5362,-0.0393,-7.3602,0
15533,"ЦАИ, ООО",2017,1026102572858.0,25.0,2018,Выращивание зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (06.12.2018).,0.7258,-0.3778,0.0,0.7258,0.0,0.0,-0.0708,0.4659,,-3.3538,1
12269,"ССО, ООО",2015,1026104368146.0,24.0,2018,"Производство неэлектрического оборудования и инструментов для пайки мягким и твердым припоем или сварки, машин и аппаратов для газотермического напыления",16 - Частная собственность,Ликвидировано вследствие банкротства (31.07.2018).,0.0616,0.057,0.8898,1.0604,14.0,0.9,,,0.0021,0.0,0
12270,"ССО, ООО",2016,1026104368146.0,24.0,2018,"Производство неэлектрического оборудования и инструментов для пайки мягким и твердым припоем или сварки, машин и аппаратов для газотермического напыления",16 - Частная собственность,Ликвидировано вследствие банкротства (31.07.2018).,0.0035,0.0773,0.5838,1.0838,19.8,0.6,,,,0.0,0
